,GII Rank,NaN,HDI Rank,NaN,Country,NaN,GII Value
116,116,NaN,100,NaN,Botswana,NaN,0.465
117,117,NaN,144,NaN,Cambodia,NaN,0.474
118,118,NaN,147,NaN,Myanmar,NaN,0.478
119,119,NaN,113,NaN,Venezuela,NaN,0.479
120,119,NaN,127,NaN,Guatemala,NaN,0.479
121,121,NaN,107,NaN,Indonesia,NaN,0.480
122,122,NaN,151,NaN,Syrian Arab Republic,NaN,0.482
123,123,NaN,131,NaN,India,NaN,0.488
124,124,NaN,185,NaN,Burundi,NaN,0.504
125,125,NaN,173,NaN,Ethiopia,NaN,0.517
126,126,NaN,143,NaN,Kenya,NaN,0.518
127,127,NaN,181,NaN,Mozambique,NaN,0.523
128,128,NaN,119,NaN,Gabon,NaN,0.525
129,129,NaN,150,NaN,Zimbabwe,NaN,0.527
130,130,NaN,168,NaN,Senegal,NaN,0.533
131,131,NaN,159,NaN,Uganda,NaN,0.535
132,132,NaN,148,NaN,Angola,NaN,0.536
133,133,NaN,135,NaN,Sao Tome and Principe,NaN,0.537
134,133,NaN,133,NaN,Bangladesh,NaN,0.537
135,135,NaN,138,NaN,Ghana,NaN,0.538
136,135,NaN,154,NaN,Pakistan,NaN,0.538
137,137,NaN,146,NaN,Zambia,NaN,0.539
138,138,NaN,170,NaN,Sudan,NaN,0.545
139,139,NaN,165,NaN,Lesotho,NaN,0.553
140,140,NaN,163,NaN,Tanzania,NaN,0.556
141,141,NaN,153,NaN,Cameroon,NaN,0.560
142,142,NaN,174,NaN,Malawi,NaN,0.565
143,143,NaN,138,NaN,Eswatini,NaN,0.567
144,144,NaN,149,NaN,Republic of the Congo,NaN,0.570
145,145,NaN,167,NaN,Togo,NaN,0.573
146,146,NaN,123,NaN,Iraq,NaN,0.577
147,147,NaN,182,NaN,Burkina Faso,NaN,0.594
148,148,NaN,158,NaN,Benin,NaN,0.612
149,148,NaN,172,NaN,Gambia,NaN,0.612
150,150,NaN,175,NaN,Democratic Republic of the Congo,NaN,0.617
151,151,NaN,157,NaN,Mauritania,NaN,0.634
152,152,NaN,170,NaN,Haiti,NaN,0.636
153,153,NaN,162,NaN,Côte d'Ivoire,NaN,0.638
154,154,NaN,189,NaN,Niger,NaN,0.642
155,155,NaN,182,NaN,Sierra Leone,NaN,0.644
156,156,NaN,175,NaN,Liberia,NaN,0.650
157,157,NaN,169,NaN,Afghanistan,NaN,0.655
158,158,NaN,184,NaN,Mali,NaN,0.671
159,159,NaN,188,NaN,Central African Republic,NaN,0.680
160,160,NaN,187,NaN,Chad,NaN,0.710
161,161,NaN,155,NaN,Papua New Guinea,NaN,0.725
162,162,NaN,179,NaN,Yemen,NaN,0.795
