,Rank,Country,GNI per capita (US$),Year
1,165,Syria,1823,2007
2,166,South Sudan,1090,2020
3,167,Tajikistan,1030,2019
4,168,Guinea,950,2019
5,169,Yemen,940,2018
6,170,Mali,880,2019
7,171,Ethiopia,850,2019
8,172,Rwanda,820,2019
9,173,Guinea-Bissau,820,2019
10,174,Haiti,790,2019
11,175,Burkina Faso,790,2019
12,176,Uganda,780,2019
13,177,Gambia,740,2019
14,178,Chad,700,2019
