,Country,Rank,Score,Basic Human Needs,Foundation of Well Being,Opportunity
125,Rwanda,125,54.13,54.52,62.65,45.21
126,Malawi,126,54.07,53.6,59.58,49.02
127,Lesotho,127,53.8,44.33,60.05,57.02
128,Cote D'Ivoire,128,53.59,55.36,61.52,43.89
129,Togo,129,53.05,50.8,60.51,47.84
130,Uganda,130,52.98,53.67,59.2,46.08
131,Swaziland,131,52.92,60.25,59.03,39.48
132,Zimbabwe,132,52.26,51.4,64.48,40.88
133,Laos,133,51.8,62.64,55.18,37.58
134,Sierra Leone,134,51.74,47,58.15,50.07
135,Liberia,135,51.37,47.75,52.42,53.94
136,Nigeria,136,51.31,50.82,57.47,45.64
137,Cameroon,137,51.29,56.31,54.2,43.36
138,Equatorial Guinea,138,50.08,62.97,50.82,36.45
139,North Korea,139,50.01,63.94,52.79,33.3
140,Burkina Faso,140,49.87,47.93,54.74,46.95
141,Pakistan,141,49.25,59.49,46.88,41.39
142,Mozambique,142,49,46.93,56.22,43.85
143,Mauritania,143,48.95,56.63,52.69,37.52
144,Haiti,144,48.79,50.21,54.5,41.65
145,Ethiopia,145,48.59,51.65,53.38,40.74
146,Djibouti,146,48.53,58.14,45.43,42.03
147,Sudan,147,48.51,59.44,50.1,35.99
148,Madagascar,148,48.46,43.54,54.67,47.17
149,Congo Republic of,149,48.45,52.57,56.29,36.48
150,Mali,150,48.29,51.99,51.69,41.19
151,Angola,151,48.16,52.6,52.2,39.69
152,Guinea-Bissau,152,46.69,46.79,47.5,45.79
153,Papua New Guinea,153,44.91,43.16,44.34,47.23
154,Guinea,154,43.41,44.61,52.88,32.76
155,Afghanistan,155,42.29,52.9,39.5,34.47
156,Congo Democratic Republic of,156,42.25,41.3,52.21,33.23
157,Niger,157,42.21,42.2,42.81,41.63
158,Burundi,158,41.2,40.33,50.08,33.21
159,Somalia,159,35.58,36.87,43.98,25.9
160,Eritrea,160,35.2,43.03,38.42,24.16
161,Central African Republic,161,31.62,21.31,38.68,34.85
162,Chad,162,31.29,30.87,37.89,25.1
163,South Sudan,163,31.06,35.74,36.69,20.73
