,Rank,Country,GNI per capita (US$),Year
1,179,Togo,690,2019
2,180,Eritrea,600,2011
3,181,Sudan,590,2019
4,182,Liberia,580,2019
5,183,Niger,560,2019
6,184,Afghanistan,540,2019
7,185,Madagascar,520,2019
8,186,Democratic Republic of the Congo,520,2019
9,187,Central African Republic,520,2019
10,188,Sierra Leone,500,2019
11,189,Mozambique,480,2019
12,190,Malawi,380,2019
13,191,Burundi,280,2019
14,192,Somalia,130,1990
