,1,Denmark,7.526, -0.401,NaN
140,141,Angola,3.866, 0.000,NaN
141,142,Niger,3.856, -0.144,NaN
142,143,South Sudan,3.832, 0.000,NaN
143,144,Chad,3.763, -0.025,NaN
144,145,Burkina Faso,3.739, -0.170,NaN
145,146,Uganda,3.739, -0.356,NaN
146,147,Yemen,3.724, -0.754,NaN
147,148,Madagascar,3.695, -0.285,NaN
148,149,Tanzania,3.666, -0.460,NaN
149,150,Liberia,3.622, -0.080,NaN
150,151,Guinea,3.607, 0.000,NaN
151,152,Rwanda,3.515, -0.700,NaN
152,153,Benin,3.484, 0.154,NaN
153,154,Afghanistan,3.360, 0.000,NaN
154,155,Togo,3.303, 0.100,NaN
155,156,Syria,3.069, 0.000,NaN
156,157,Burundi,2.905, 0.000,NaN
