,Overall Rank,Change in rank,Country,Score,Change in score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Trust,Residual
104,117, 5,Iraq,4.497, 0.078,1.103,0.979,0.501,0.289,0.200,0.107,1.319
105,118, 16,Gabon,4.465, 0.344,1.198,1.156,0.357,0.312,0.044,0.076,1.323
106,119, 4,Ethiopia,4.460, 0.048,0.339,0.865,0.353,0.409,0.313,0.165,2.016
107,120, 3,Sri Lanka,4.440, 0.025,1.010,1.260,0.625,0.561,0.491,0.074,0.419
108,122, 4,India,4.315, 0.089,0.792,0.754,0.455,0.470,0.232,0.092,1.519
109,123, 7,Mauritania,4.292, 0.091,0.648,1.272,0.285,0.096,0.202,0.137,1.652
110,124, 1,Congo (Brazzaville),4.291, 0.019,0.809,0.832,0.290,0.435,0.121,0.080,1.724
111,125, 1,Georgia,4.286, 0.034,0.951,0.571,0.650,0.309,0.054,0.252,1.500
112,126, 1,Congo (Kinshasa),4.280, 0.044,0.092,1.229,0.191,0.236,0.246,0.060,2.225
113,127, 8,Mali,4.190, 0.117,0.476,1.281,0.169,0.307,0.183,0.105,1.668
114,128, 11,Ivory Coast,4.180, 0.264,0.603,0.905,0.049,0.448,0.201,0.130,1.845
115,129, 11,Cambodia,4.168, 0.261,0.602,1.006,0.430,0.633,0.386,0.068,1.043
116,131, 7,Ghana,4.120, 0.156,0.667,0.874,0.296,0.423,0.257,0.025,1.578
117,132, 9,Ukraine,4.096, 0.228,0.895,1.395,0.576,0.123,0.270,0.023,0.814
118,133, 13,Uganda,4.081, 0.342,0.381,1.130,0.218,0.443,0.326,0.057,1.526
119,134, 11,Burkina Faso,4.032, 0.293,0.350,1.043,0.216,0.324,0.251,0.120,1.727
120,135, 7,Niger,4.028, 0.172,0.162,0.993,0.269,0.364,0.229,0.139,1.874
121,136, 4,Malawi,3.970, 0.186,0.233,0.513,0.315,0.467,0.287,0.073,2.082
122,137, 7,Chad,3.936, 0.173,0.438,0.954,0.041,0.162,0.216,0.054,2.071
123,138, 7,Zimbabwe,3.875, 0.318,0.376,1.083,0.197,0.336,0.189,0.095,1.598
124,139,N/A,Lesotho,3.808,N/A,0.521,1.190,0.000,0.391,0.157,0.119,1.430
125,140, 1,Angola,3.795, 0.071,0.858,1.104,0.050,0.000,0.098,0.070,1.614
126,141, 13,Afghanistan,3.794, 0.434,0.401,0.582,0.181,0.106,0.312,0.061,2.151
127,142, 5,Botswana,3.766, 0.208,1.122,1.222,0.342,0.505,0.099,0.099,0.378
128,143, 10,Benin,3.657, 0.173,0.431,0.435,0.210,0.426,0.208,0.061,1.886
129,144, 4,Madagascar,3.644, 0.051,0.306,0.913,0.375,0.189,0.209,0.067,1.585
130,145, 9,Haiti,3.603, 0.425,0.369,0.640,0.277,0.030,0.489,0.100,1.697
131,146, 1,Yemen,3.593, 0.131,0.592,0.935,0.310,0.249,0.104,0.057,1.346
132,147, 4,South Sudan,3.591, 0.241,0.397,0.601,0.163,0.147,0.286,0.117,1.880
133,148, 2,Liberia,3.533, 0.089,0.119,0.872,0.230,0.333,0.267,0.039,1.673
134,149, 2,Guinea,3.507, 0.100,0.245,0.791,0.194,0.349,0.265,0.111,1.552
135,150, 5,Togo,3.495, 0.192,0.305,0.432,0.247,0.380,0.197,0.096,1.837
136,151, 1,Rwanda,3.471, 0.044,0.369,0.946,0.326,0.582,0.253,0.455,0.540
137,152, 4,Syria,3.462, 0.393,0.777,0.396,0.501,0.082,0.494,0.151,1.062
138,153, 4,Tanzania,3.349, 0.317,0.511,1.042,0.365,0.390,0.354,0.066,0.621
139,155,N/A,Central African Republic,2.693,N/A,0.000,0.000,0.019,0.271,0.281,0.057,2.066
